id,admin0,admin1,admin2,admin3,level,admin,iso2,iso1_3n,iso2_uid,iso1_3c,iso1_2c,nameid,centroid_longitude,centroid_latitude
ECA0101,Ecuador,Azuay,Cuenca,,canton,2,A,218,EC-A,ECU,EC,"Cuenca, Azuay, Ecuador",-79.219986,-2.8614755
ECA0102,Ecuador,Azuay,Giron,,canton,2,A,218,EC-A,ECU,EC,"Giron, Azuay, Ecuador",-79.15934,-3.1794868
ECA0103,Ecuador,Azuay,Gualaceo,,canton,2,A,218,EC-A,ECU,EC,"Gualaceo, Azuay, Ecuador",-78.844933,-2.9178488
ECA0104,Ecuador,Azuay,Nabon,,canton,2,A,218,EC-A,ECU,EC,"Nabon, Azuay, Ecuador",-79.118881,-3.3297832
ECA0105,Ecuador,Azuay,Paute,,canton,2,A,218,EC-A,ECU,EC,"Paute, Azuay, Ecuador",-78.681664,-2.7108266
ECA0106,Ecuador,Azuay,Pucara,,canton,2,A,218,EC-A,ECU,EC,"Pucara, Azuay, Ecuador",-79.527496,-3.1924272
ECA0107,Ecuador,Azuay,San Fernando,,canton,2,A,218,EC-A,ECU,EC,"San Fernando, Azuay, Ecuador",-79.268028,-3.1327119
ECA0108,Ecuador,Azuay,Santa Isabel,,canton,2,A,218,EC-A,ECU,EC,"Santa Isabel, Azuay, Ecuador",-79.36348,-3.2023385
ECA0109,Ecuador,Azuay,Sigsig,,canton,2,A,218,EC-A,ECU,EC,"Sigsig, Azuay, Ecuador",-78.853905,-3.1298509
ECA0110,Ecuador,Azuay,Ona,,canton,2,A,218,EC-A,ECU,EC,"Ona, Azuay, Ecuador",-79.130623,-3.489181
ECA0111,Ecuador,Azuay,Chordeleg,,canton,2,A,218,EC-A,ECU,EC,"Chordeleg, Azuay, Ecuador",-78.733528,-2.9957097
ECA0112,Ecuador,Azuay,El Pan,,canton,2,A,218,EC-A,ECU,EC,"El Pan, Azuay, Ecuador",-78.654686,-2.8577356
