id,date,admin0,admin1,cases
PEAMA,2020-02-02,Peru,Amazonas,0
PEANC,2020-02-02,Peru,Ancash,0
PEAPU,2020-02-02,Peru,Apurimac,0
PEARE,2020-02-02,Peru,Arequipa,0
PEAYA,2020-02-02,Peru,Ayacucho,0
PECAJ,2020-02-02,Peru,Cajamarca,0
PECAL,2020-02-02,Peru,Callao,0
PECUS,2020-02-02,Peru,Cusco,0
PEHUC,2020-02-02,Peru,Huanuco,0
PEHUV,2020-02-02,Peru,Huancavelica,0
PEICA,2020-02-02,Peru,Ica,0
PEJUN,2020-02-02,Peru,Junin,0
PELAL,2020-02-02,Peru,La Libertad,0
PELAM,2020-02-02,Peru,Lambayeque,0
PELIM,2020-02-02,Peru,Lima,0
PELOR,2020-02-02,Peru,Loreto,0
PEMDD,2020-02-02,Peru,Madre De Dios,0
PEMOQ,2020-02-02,Peru,Moquegua,0
PEPAS,2020-02-02,Peru,Pasco,0
PEPIU,2020-02-02,Peru,Piura,0
PEPUN,2020-02-02,Peru,Puno,0
PESAM,2020-02-02,Peru,San Martin,0
PETAC,2020-02-02,Peru,Tacna,0
PETUM,2020-02-02,Peru,Tumbes,0
PEUCA,2020-02-02,Peru,Ucayali,0
