id,date,admin0,admin1,admin2,cases
COAMA91001,2020-02-15,Colombia,Amazonas,Leticia,0
COAMA91263,2020-02-15,Colombia,Amazonas,El Encanto,0
COAMA91405,2020-02-15,Colombia,Amazonas,La Chorrera,0
COAMA91407,2020-02-15,Colombia,Amazonas,La Pedrera,0
COAMA91430,2020-02-15,Colombia,Amazonas,La Victoria,0
COAMA91460,2020-02-15,Colombia,Amazonas,Miriti - Parana,0
COAMA91530,2020-02-15,Colombia,Amazonas,Puerto Alegria,0
COAMA91536,2020-02-15,Colombia,Amazonas,Puerto Arica,0
COAMA91540,2020-02-15,Colombia,Amazonas,Puerto Narino,0
COAMA91669,2020-02-15,Colombia,Amazonas,Puerto Santander,0
COAMA91798,2020-02-15,Colombia,Amazonas,Tarapaca,0
COANT05001,2020-02-15,Colombia,Antioquia,Medellin,0
COANT05002,2020-02-15,Colombia,Antioquia,Abejorral,0
COANT05004,2020-02-15,Colombia,Antioquia,Abriaqui,0
COANT05021,2020-02-15,Colombia,Antioquia,Alejandria,0
COANT05030,2020-02-15,Colombia,Antioquia,Amaga,0
COANT05031,2020-02-15,Colombia,Antioquia,Amalfi,0
COANT05034,2020-02-15,Colombia,Antioquia,Andes,0
COANT05036,2020-02-15,Colombia,Antioquia,Angelopolis,0
COANT05038,2020-02-15,Colombia,Antioquia,Angostura,0
COANT05040,2020-02-15,Colombia,Antioquia,Anori,0
COANT05042,2020-02-15,Colombia,Antioquia,Santa Fe De Antioquia,0
COANT05044,2020-02-15,Colombia,Antioquia,Anza,0
COANT05045,2020-02-15,Colombia,Antioquia,Apartado,0
COANT05051,2020-02-15,Colombia,Antioquia,Arboletes,0
COANT05055,2020-02-15,Colombia,Antioquia,Argelia,0
COANT05059,2020-02-15,Colombia,Antioquia,Armenia,0
COANT05079,2020-02-15,Colombia,Antioquia,Barbosa,0
COANT05086,2020-02-15,Colombia,Antioquia,Belmira,0
COANT05088,2020-02-15,Colombia,Antioquia,Bello,0
COANT05091,2020-02-15,Colombia,Antioquia,Betania,0
COANT05093,2020-02-15,Colombia,Antioquia,Betulia,0
COANT05101,2020-02-15,Colombia,Antioquia,Ciudad Bolivar,0
COANT05107,2020-02-15,Colombia,Antioquia,Briceno,0
COANT05113,2020-02-15,Colombia,Antioquia,Buritica,0
COANT05120,2020-02-15,Colombia,Antioquia,Caceres,0
COANT05125,2020-02-15,Colombia,Antioquia,Caicedo,0
COANT05129,2020-02-15,Colombia,Antioquia,Caldas,0
COANT05134,2020-02-15,Colombia,Antioquia,Campamento,0
COANT05138,2020-02-15,Colombia,Antioquia,Canasgordas,0
COANT05142,2020-02-15,Colombia,Antioquia,Caracoli,0
COANT05145,2020-02-15,Colombia,Antioquia,Caramanta,0
COANT05147,2020-02-15,Colombia,Antioquia,Carepa,0
COANT05148,2020-02-15,Colombia,Antioquia,El Carmen De Viboral,0
COANT05150,2020-02-15,Colombia,Antioquia,Carolina,0
COANT05154,2020-02-15,Colombia,Antioquia,Caucasia,0
COANT05172,2020-02-15,Colombia,Antioquia,Chigorodo,0
COANT05190,2020-02-15,Colombia,Antioquia,Cisneros,0
COANT05197,2020-02-15,Colombia,Antioquia,Cocorna,0
COANT05206,2020-02-15,Colombia,Antioquia,Concepcion,0
COANT05209,2020-02-15,Colombia,Antioquia,Concordia,0
COANT05212,2020-02-15,Colombia,Antioquia,Copacabana,0
COANT05234,2020-02-15,Colombia,Antioquia,Dabeiba,0
COANT05237,2020-02-15,Colombia,Antioquia,Donmatias,0
COANT05240,2020-02-15,Colombia,Antioquia,Ebejico,0
COANT05250,2020-02-15,Colombia,Antioquia,El Bagre,0
COANT05264,2020-02-15,Colombia,Antioquia,Entrerrios,0
COANT05266,2020-02-15,Colombia,Antioquia,Envigado,0
COANT05282,2020-02-15,Colombia,Antioquia,Fredonia,0
COANT05284,2020-02-15,Colombia,Antioquia,Frontino,0
COANT05306,2020-02-15,Colombia,Antioquia,Giraldo,0
COANT05308,2020-02-15,Colombia,Antioquia,Girardota,0
COANT05310,2020-02-15,Colombia,Antioquia,Gomez Plata,0
COANT05313,2020-02-15,Colombia,Antioquia,Granada,0
COANT05315,2020-02-15,Colombia,Antioquia,Guadalupe,0
COANT05318,2020-02-15,Colombia,Antioquia,Guarne,0
COANT05321,2020-02-15,Colombia,Antioquia,Guatape,0
COANT05347,2020-02-15,Colombia,Antioquia,Heliconia,0
COANT05353,2020-02-15,Colombia,Antioquia,Hispania,0
COANT05360,2020-02-15,Colombia,Antioquia,Itagui,0
COANT05361,2020-02-15,Colombia,Antioquia,Ituango,0
COANT05364,2020-02-15,Colombia,Antioquia,Jardin,0
COANT05368,2020-02-15,Colombia,Antioquia,Jerico,0
COANT05376,2020-02-15,Colombia,Antioquia,La Ceja,0
COANT05380,2020-02-15,Colombia,Antioquia,La Estrella,0
COANT05390,2020-02-15,Colombia,Antioquia,La Pintada,0
COANT05400,2020-02-15,Colombia,Antioquia,La Union,0
COANT05411,2020-02-15,Colombia,Antioquia,Liborina,0
COANT05425,2020-02-15,Colombia,Antioquia,Maceo,0
COANT05440,2020-02-15,Colombia,Antioquia,Marinilla,0
COANT05467,2020-02-15,Colombia,Antioquia,Montebello,0
COANT05475,2020-02-15,Colombia,Antioquia,Murindo,0
COANT05480,2020-02-15,Colombia,Antioquia,Mutata,0
COANT05483,2020-02-15,Colombia,Antioquia,Narino,0
COANT05490,2020-02-15,Colombia,Antioquia,Necocli,0
COANT05495,2020-02-15,Colombia,Antioquia,Nechi,0
COANT05501,2020-02-15,Colombia,Antioquia,Olaya,0
COANT05541,2020-02-15,Colombia,Antioquia,Penol,0
COANT05543,2020-02-15,Colombia,Antioquia,Peque,0
COANT05576,2020-02-15,Colombia,Antioquia,Pueblorrico,0
COANT05579,2020-02-15,Colombia,Antioquia,Puerto Berrio,0
COANT05585,2020-02-15,Colombia,Antioquia,Puerto Nare,0
COANT05591,2020-02-15,Colombia,Antioquia,Puerto Triunfo,0
COANT05604,2020-02-15,Colombia,Antioquia,Remedios,0
COANT05607,2020-02-15,Colombia,Antioquia,Retiro,0
COANT05615,2020-02-15,Colombia,Antioquia,Rionegro,0
COANT05628,2020-02-15,Colombia,Antioquia,Sabanalarga,0
COANT05631,2020-02-15,Colombia,Antioquia,Sabaneta,0
COANT05642,2020-02-15,Colombia,Antioquia,Salgar,0
COANT05647,2020-02-15,Colombia,Antioquia,San Andres De Cuerquia,0
COANT05649,2020-02-15,Colombia,Antioquia,San Carlos,0
COANT05652,2020-02-15,Colombia,Antioquia,San Francisco,0
COANT05656,2020-02-15,Colombia,Antioquia,San Jeronimo,0
COANT05658,2020-02-15,Colombia,Antioquia,San Jose De La Montana,0
COANT05659,2020-02-15,Colombia,Antioquia,San Juan De Uraba,0
COANT05660,2020-02-15,Colombia,Antioquia,San Luis,0
COANT05664,2020-02-15,Colombia,Antioquia,San Pedro De Los Milagros,0
COANT05665,2020-02-15,Colombia,Antioquia,San Pedro De Uraba,0
COANT05667,2020-02-15,Colombia,Antioquia,San Rafael,0
COANT05670,2020-02-15,Colombia,Antioquia,San Roque,0
COANT05674,2020-02-15,Colombia,Antioquia,San Vicente Ferrer,0
COANT05679,2020-02-15,Colombia,Antioquia,Santa Barbara,0
COANT05686,2020-02-15,Colombia,Antioquia,Santa Rosa De Osos,0
COANT05690,2020-02-15,Colombia,Antioquia,Santo Domingo,0
COANT05697,2020-02-15,Colombia,Antioquia,El Santuario,0
COANT05736,2020-02-15,Colombia,Antioquia,Segovia,0
COANT05756,2020-02-15,Colombia,Antioquia,Sonson,0
COANT05761,2020-02-15,Colombia,Antioquia,Sopetran,0
COANT05789,2020-02-15,Colombia,Antioquia,Tamesis,0
COANT05790,2020-02-15,Colombia,Antioquia,Taraza,0
COANT05792,2020-02-15,Colombia,Antioquia,Tarso,0
