id,date,admin0,admin1,admin2,cases
ECA0101,2020-02-20,Ecuador,Azuay,Cuenca,0
ECA0102,2020-02-20,Ecuador,Azuay,Giron,0
ECA0103,2020-02-20,Ecuador,Azuay,Gualaceo,0
ECA0104,2020-02-20,Ecuador,Azuay,Nabon,0
ECA0105,2020-02-20,Ecuador,Azuay,Paute,0
ECA0106,2020-02-20,Ecuador,Azuay,Pucara,0
ECA0107,2020-02-20,Ecuador,Azuay,San Fernando,0
ECA0108,2020-02-20,Ecuador,Azuay,Santa Isabel,0
ECA0109,2020-02-20,Ecuador,Azuay,Sigsig,0
ECA0110,2020-02-20,Ecuador,Azuay,Ona,0
ECA0111,2020-02-20,Ecuador,Azuay,Chordeleg,0
ECA0112,2020-02-20,Ecuador,Azuay,El Pan,0
ECA0113,2020-02-20,Ecuador,Azuay,Sevilla De Oro,0
ECA0114,2020-02-20,Ecuador,Azuay,Guachapala,0
ECA0115,2020-02-20,Ecuador,Azuay,Camilo Ponce Enriquez,0
ECB0201,2020-02-20,Ecuador,Bolivar,Guaranda,0
ECB0202,2020-02-20,Ecuador,Bolivar,Chillanes,0
ECB0203,2020-02-20,Ecuador,Bolivar,Chimbo,0
ECB0204,2020-02-20,Ecuador,Bolivar,Echeandia,0
ECB0205,2020-02-20,Ecuador,Bolivar,San Miguel,0
ECB0206,2020-02-20,Ecuador,Bolivar,Caluma,0
ECB0207,2020-02-20,Ecuador,Bolivar,Las Naves,0
ECC0401,2020-02-20,Ecuador,Carchi,Tulcan,0
ECC0402,2020-02-20,Ecuador,Carchi,Bolivar,0
ECC0403,2020-02-20,Ecuador,Carchi,Espejo,0
ECC0404,2020-02-20,Ecuador,Carchi,Mira,0
ECC0405,2020-02-20,Ecuador,Carchi,Montufar,0
ECC0406,2020-02-20,Ecuador,Carchi,San Pedro De Huaca,0
ECD2201,2020-02-20,Ecuador,Orellana,Orellana,0
ECD2202,2020-02-20,Ecuador,Orellana,Aguarico,0
ECD2203,2020-02-20,Ecuador,Orellana,La Joya De Los Sachas,0
ECD2204,2020-02-20,Ecuador,Orellana,Loreto,0
ECE0801,2020-02-20,Ecuador,Esmeraldas,Esmeraldas,0
ECE0802,2020-02-20,Ecuador,Esmeraldas,Eloy Alfaro,0
ECE0803,2020-02-20,Ecuador,Esmeraldas,Muisne,0
ECE0804,2020-02-20,Ecuador,Esmeraldas,Quininde,0
ECE0805,2020-02-20,Ecuador,Esmeraldas,San Lorenzo,0
ECE0806,2020-02-20,Ecuador,Esmeraldas,Atacames,0
ECE0807,2020-02-20,Ecuador,Esmeraldas,Rioverde,0
ECF0301,2020-02-20,Ecuador,Canar,Azogues,0
ECF0302,2020-02-20,Ecuador,Canar,Biblian,0
ECF0303,2020-02-20,Ecuador,Canar,Canar,0
ECF0304,2020-02-20,Ecuador,Canar,La Troncal,0
ECF0305,2020-02-20,Ecuador,Canar,El Tambo,0
ECF0306,2020-02-20,Ecuador,Canar,Deleg,0
ECF0307,2020-02-20,Ecuador,Canar,Suscal,0
ECG0901,2020-02-20,Ecuador,Guayas,Guayaquil,0
ECG0902,2020-02-20,Ecuador,Guayas,Alfredo Baquerizo Moreno,0
ECG0903,2020-02-20,Ecuador,Guayas,Balao,0
ECG0904,2020-02-20,Ecuador,Guayas,Balzar,0
ECG0905,2020-02-20,Ecuador,Guayas,Colimes,0
ECG0906,2020-02-20,Ecuador,Guayas,Daule,0
ECG0907,2020-02-20,Ecuador,Guayas,Duran,0
ECG0908,2020-02-20,Ecuador,Guayas,Empalme,0
ECG0909,2020-02-20,Ecuador,Guayas,El Triunfo,0
ECG0910,2020-02-20,Ecuador,Guayas,Milagro,0
ECG0911,2020-02-20,Ecuador,Guayas,Naranjal,0
ECG0912,2020-02-20,Ecuador,Guayas,Naranjito,0
ECG0913,2020-02-20,Ecuador,Guayas,Palestina,0
ECG0914,2020-02-20,Ecuador,Guayas,Pedro Carbo,0
ECG0916,2020-02-20,Ecuador,Guayas,Samborondon,0
ECG0918,2020-02-20,Ecuador,Guayas,Santa Lucia,0
ECG0919,2020-02-20,Ecuador,Guayas,Salitre,0
ECG0920,2020-02-20,Ecuador,Guayas,San Jacinto De Yaguachi,0
ECG0921,2020-02-20,Ecuador,Guayas,Playas,0
ECG0922,2020-02-20,Ecuador,Guayas,Simon Bolivar,0
ECG0923,2020-02-20,Ecuador,Guayas,Coronel Marcelino Mariduena,0
ECG0924,2020-02-20,Ecuador,Guayas,Lomas De Sargentillo,0
ECG0925,2020-02-20,Ecuador,Guayas,Nobol,0
ECG0927,2020-02-20,Ecuador,Guayas,General Antonio Elizalde,0
ECG0928,2020-02-20,Ecuador,Guayas,Isidro Ayora,0
ECH0601,2020-02-20,Ecuador,Chimborazo,Riobamba,0
ECH0602,2020-02-20,Ecuador,Chimborazo,Alausi,0
ECH0603,2020-02-20,Ecuador,Chimborazo,Colta,0
ECH0604,2020-02-20,Ecuador,Chimborazo,Chambo,0
ECH0605,2020-02-20,Ecuador,Chimborazo,Chunchi,0
ECH0606,2020-02-20,Ecuador,Chimborazo,Guamote,0
ECH0607,2020-02-20,Ecuador,Chimborazo,Guano,0
ECH0608,2020-02-20,Ecuador,Chimborazo,Pallatanga,0
ECH0609,2020-02-20,Ecuador,Chimborazo,Penipe,0
ECH0610,2020-02-20,Ecuador,Chimborazo,Cumanda,0
ECI1001,2020-02-20,Ecuador,Imbabura,Ibarra,0
ECI1002,2020-02-20,Ecuador,Imbabura,Antonio Ante,0
ECI1003,2020-02-20,Ecuador,Imbabura,Cotacachi,0
