id,date,admin0,admin1,admin2,cases
PEAMA0101,2020-02-21,Peru,Amazonas,Chachapoyas,0
PEAMA0102,2020-02-21,Peru,Amazonas,Bagua,0
PEAMA0103,2020-02-21,Peru,Amazonas,Bongara,0
PEAMA0104,2020-02-21,Peru,Amazonas,Condorcanqui,0
PEAMA0105,2020-02-21,Peru,Amazonas,Luya,0
PEAMA0106,2020-02-21,Peru,Amazonas,Rodriguez De Mendoza,0
PEAMA0107,2020-02-21,Peru,Amazonas,Utcubamba,0
PEANC0201,2020-02-21,Peru,Ancash,Huaraz,0
PEANC0202,2020-02-21,Peru,Ancash,Aija,0
PEANC0203,2020-02-21,Peru,Ancash,Antonio Raymondi,0
PEANC0204,2020-02-21,Peru,Ancash,Asuncion,0
PEANC0205,2020-02-21,Peru,Ancash,Bolognesi,0
PEANC0206,2020-02-21,Peru,Ancash,Carhuaz,0
PEANC0207,2020-02-21,Peru,Ancash,Carlos Fermin Fitzcarrald,0
PEANC0208,2020-02-21,Peru,Ancash,Casma,0
PEANC0209,2020-02-21,Peru,Ancash,Corongo,0
PEANC0210,2020-02-21,Peru,Ancash,Huari,0
PEANC0211,2020-02-21,Peru,Ancash,Huarmey,0
PEANC0212,2020-02-21,Peru,Ancash,Huaylas,0
PEANC0213,2020-02-21,Peru,Ancash,Mariscal Luzuriaga,0
PEANC0214,2020-02-21,Peru,Ancash,Ocros,0
PEANC0215,2020-02-21,Peru,Ancash,Pallasca,0
PEANC0216,2020-02-21,Peru,Ancash,Pomabamba,0
PEANC0217,2020-02-21,Peru,Ancash,Recuay,0
PEANC0218,2020-02-21,Peru,Ancash,Santa,0
PEANC0219,2020-02-21,Peru,Ancash,Sihuas,0
PEANC0220,2020-02-21,Peru,Ancash,Yungay,0
PEAPU0301,2020-02-21,Peru,Apurimac,Abancay,0
PEAPU0302,2020-02-21,Peru,Apurimac,Andahuaylas,0
PEAPU0303,2020-02-21,Peru,Apurimac,Antabamba,0
PEAPU0304,2020-02-21,Peru,Apurimac,Aymaraes,0
PEAPU0305,2020-02-21,Peru,Apurimac,Cotabambas,0
PEAPU0306,2020-02-21,Peru,Apurimac,Chincheros,0
PEAPU0307,2020-02-21,Peru,Apurimac,Grau,0
PEARE0401,2020-02-21,Peru,Arequipa,Arequipa,0
PEARE0402,2020-02-21,Peru,Arequipa,Camana,0
PEARE0403,2020-02-21,Peru,Arequipa,Caraveli,0
PEARE0404,2020-02-21,Peru,Arequipa,Castilla,0
PEARE0405,2020-02-21,Peru,Arequipa,Caylloma,0
PEARE0406,2020-02-21,Peru,Arequipa,Condesuyos,0
PEARE0407,2020-02-21,Peru,Arequipa,Islay,0
PEARE0408,2020-02-21,Peru,Arequipa,La Union,0
PEAYA0501,2020-02-21,Peru,Ayacucho,Huamanga,0
PEAYA0502,2020-02-21,Peru,Ayacucho,Cangallo,0
PEAYA0503,2020-02-21,Peru,Ayacucho,Huanca Sancos,0
PEAYA0504,2020-02-21,Peru,Ayacucho,Huanta,0
PEAYA0505,2020-02-21,Peru,Ayacucho,La Mar,0
PEAYA0506,2020-02-21,Peru,Ayacucho,Lucanas,0
PEAYA0507,2020-02-21,Peru,Ayacucho,Parinacochas,0
PEAYA0508,2020-02-21,Peru,Ayacucho,Paucar Del Sara Sara,0
