id,admin0,admin1,admin2,admin3,level,admin,iso2,iso1_3n,iso2_uid,iso1_3c,iso1_2c,nameid,centroid_longitude,centroid_latitude,cases,date
PEAMA010101,Peru,Amazonas,Chachapoyas,Chachapoyas,District,3,AMA,604,PE-AMA,PER,PE,"Chachapoyas, Chachapoyas, Amazonas, Peru",-77.856491,-6.2477355,0,2020-01-15
PEAMA010102,Peru,Amazonas,Chachapoyas,Asuncion,District,3,AMA,604,PE-AMA,PER,PE,"Asuncion, Chachapoyas, Amazonas, Peru",-77.743202,-5.9961348,0,2020-01-15
PEAMA010103,Peru,Amazonas,Chachapoyas,Balsas,District,3,AMA,604,PE-AMA,PER,PE,"Balsas, Chachapoyas, Amazonas, Peru",-77.949425,-6.8078394,0,2020-01-15
PEAMA010104,Peru,Amazonas,Chachapoyas,Cheto,District,3,AMA,604,PE-AMA,PER,PE,"Cheto, Chachapoyas, Amazonas, Peru",-77.67717,-6.2979698,0,2020-01-15
PEAMA010105,Peru,Amazonas,Chachapoyas,Chiliquin,District,3,AMA,604,PE-AMA,PER,PE,"Chiliquin, Chachapoyas, Amazonas, Peru",-77.755867,-6.0782065,0,2020-01-15
PEAMA010106,Peru,Amazonas,Chachapoyas,Chuquibamba,District,3,AMA,604,PE-AMA,PER,PE,"Chuquibamba, Chachapoyas, Amazonas, Peru",-77.895187,-6.9349022,0,2020-01-15
PEAMA010107,Peru,Amazonas,Chachapoyas,Granada,District,3,AMA,604,PE-AMA,PER,PE,"Granada, Chachapoyas, Amazonas, Peru",-77.576599,-6.0999851,0,2020-01-15
PEAMA010108,Peru,Amazonas,Chachapoyas,Huancas,District,3,AMA,604,PE-AMA,PER,PE,"Huancas, Chachapoyas, Amazonas, Peru",-77.874977,-6.1561389,0,2020-01-15
PEAMA010109,Peru,Amazonas,Chachapoyas,La Jalca,District,3,AMA,604,PE-AMA,PER,PE,"La Jalca, Chachapoyas, Amazonas, Peru",-77.784401,-6.5035963,0,2020-01-15
PEAMA010110,Peru,Amazonas,Chachapoyas,Leimebamba,District,3,AMA,604,PE-AMA,PER,PE,"Leimebamba, Chachapoyas, Amazonas, Peru",-77.798706,-6.8088999,0,2020-01-15
PEAMA010111,Peru,Amazonas,Chachapoyas,Levanto,District,3,AMA,604,PE-AMA,PER,PE,"Levanto, Chachapoyas, Amazonas, Peru",-77.864548,-6.3142977,0,2020-01-15
PEAMA010112,Peru,Amazonas,Chachapoyas,Magdalena,District,3,AMA,604,PE-AMA,PER,PE,"Magdalena, Chachapoyas, Amazonas, Peru",-77.823814,-6.4205642,0,2020-01-15
PEAMA010113,Peru,Amazonas,Chachapoyas,Mariscal Castilla,District,3,AMA,604,PE-AMA,PER,PE,"Mariscal Castilla, Chachapoyas, Amazonas, Peru",-77.769997,-6.578907,0,2020-01-15
PEAMA010114,Peru,Amazonas,Chachapoyas,Molinopampa,District,3,AMA,604,PE-AMA,PER,PE,"Molinopampa, Chachapoyas, Amazonas, Peru",-77.607262,-6.2124362,0,2020-01-15
PEAMA010115,Peru,Amazonas,Chachapoyas,Montevideo,District,3,AMA,604,PE-AMA,PER,PE,"Montevideo, Chachapoyas, Amazonas, Peru",-77.718445,-6.6280928,0,2020-01-15
PEAMA010116,Peru,Amazonas,Chachapoyas,Olleros,District,3,AMA,604,PE-AMA,PER,PE,"Olleros, Chachapoyas, Amazonas, Peru",-77.670982,-6.008409,0,2020-01-15
PEAMA010117,Peru,Amazonas,Chachapoyas,Quinjalca,District,3,AMA,604,PE-AMA,PER,PE,"Quinjalca, Chachapoyas, Amazonas, Peru",-77.685501,-6.1081381,0,2020-01-15
PEAMA010118,Peru,Amazonas,Chachapoyas,San Francisco De Daguas,District,3,AMA,604,PE-AMA,PER,PE,"San Francisco De Daguas, Chachapoyas, Amazonas, Peru",-77.733574,-6.2322359,0,2020-01-15
PEAMA010119,Peru,Amazonas,Chachapoyas,San Isidro De Maino,District,3,AMA,604,PE-AMA,PER,PE,"San Isidro De Maino, Chachapoyas, Amazonas, Peru",-77.822571,-6.3544207,0,2020-01-15
